category,translated_keywords
art,weak
flowers,
home_construction,"damaged, delay, kneaded, broken, bad"
fashion_male_clothing,
kitchen_dining_laundry_garden_furniture,"weak, error, delay"
small_appliances,"kneaded, complaint, broken, error, broken"
la_cuisine,
bed_bath_table,"bad, bad, delay, weak, delay"
signaling_and_security,"error, weak, broken"
office_furniture,"scratched, broken, complaint, bad, delay"
computers,kneaded
watches_gifts,"bad, delay, bad, weak, broken"
auto,"delay, delay, bad, broken, complaint"
fashion_bags_accessories,"bad, delay, kneaded, late, weak"
construction_tools_lights,"kneaded, late, bad"
cool_stuff,"broken, delay, delay, complaint, bad"
food,"leaking, broken, delay"
computers_accessories,"delay, delay, complaint, bad, deceived"
perfumery,"bad, delay, broken, canceled, kneaded"
pet_shop,"incomplete, complaint, bad, delay, delay"
stationery,"delay, delay, complaint, bad, incomplete"
furniture_decor,"complaint, broken, bad, bad, broken"
drinks,"leaking, damaged"
construction_tools_safety,"bad, broken"
telephony,"broken, delay, error, bad, incomplete"
home_confort,"bad, incomplete, delay"
furniture_mattress_and_upholstery,delay
agro_industry_and_commerce,"cracked, broken"
party_supplies,
cine_photo,"defective, broken, delay"
books_technical,"broken, delay"
home_appliances_2,"damaged, broken"
music,
costruction_tools_garden,
christmas_supplies,bad
audio,"bad, broken, bad, complaint"
fashio_female_clothing,delay
air_conditioning,"deceived, broken, complaint, bad, delay"
market_place,"broken, bad, delay"
health_beauty,"delay, bad, delay, complaint, incomplete"
fashion_underwear_beach,delay
fashion_shoes,"delay, error, bad, delay"
housewares,"delay, broken, bad, broken, delay"
home_appliances,"delay, weak, broken, delay"
costruction_tools_tools,bad
furniture_living_room,"kneaded, damaged, complaint, bad, delay"
arts_and_craftmanship,broken
fixed_telephony,"late, error, broken, bad"
electronics,"broken, delay, bad, bad, delay"
diapers_and_hygiene,
books_imported,
baby,"complaint, broken, bad, incomplete, delay"
home_comfort_2,delay
luggage_accessories,"delay, delay, bad"
small_appliances_home_oven_and_coffee,complaint
food_drink,delay
furniture_bedroom,bad
tablets_printing_image,
fashion_sport,
toys,"broken, canceled, delay, complaint, bad"
consoles_games,"delay, delay, off, damaged, bad"
garden_tools,"delay, broken, broken, complaint, delay"
sports_leisure,"delay, complaint, delay, bad, bad"
industry_commerce_and_business,
security_and_services,
books_general_interest,"bad, bad, delay, delay"
construction_tools_construction,"delay, complaint, weak, incomplete, broken"
dvds_blu_ray,
musical_instruments,"delay, broken, canceled, bad, defective"
